Primary Key,ASIN,Individual Rating,Review Title,Review Date,Review_Date,Verified Purchase,Helpful Votes,Cleaned Review Text,Sentiment,Standardized Category,Standardized Aspect,Standardized Pain Point
0,B0DZDC247V,1.0,Battery life,Reviewed in India on 30 March 2025,2025-03-30,True,35,battery life is only 6 hours,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
1,B0DZDC247V,5.0,Prosessor Speed is good ?,Reviewed in India on 8 May 2025,2025-05-08,False,10,i am planning to but this model but i am seeing 0.01mhz prosessor speed in product specification . is this a typo or like fauly product . also this is not a review just a question i had,Neutral,Processor - Slow Performance,Processor,Slow Performance
2,B0DP7BZ8FD,4.0,HONEST REVIEW AND THE BEST REVIEW YOU WILL FIND,Reviewed in India on 18 October 2024,2024-10-18,True,99,"so 1st of all i got this laptop in 41000 during amazon great indian festival.now about the laptop.i got this laptop delivered in 9 days which can be considered a ling period but fine by me.the outer box was damaged but inside it was all perfect, so no problem with that.i dont think this will be a decision maker and please dont make it onelooks amd design are the best , literally it looks cool and 14 inches make it most beautiful.ok, now , before buying the laptop i saw many critics of display, but tbh yeah the display is not that oled or wuxga quality but as a student i have no problem,like it is pretty normal screen very normal,so if you have very high quality display needs then dont buy this but if you are student or evrn a working professional like me, so yeah the critics were somewhat right but its ok to be honest, it will do the job.now battery, now this one is tough to answer, i saw one comment which said 1 hr battery life, ohk yes the battery life is low, but not 1 hr, here is what i have found after using for 10 days:2 hr battery: intense gaming played honkai rail star, rocket league, genshin impact, can play valorant too 3.5-4.5 hrs: net surfing and video streaming5hr-6 hr : pdf and book reading which i as a student use it most forsee it is a h grade processor,but it is okay guys, chill, it has fast charing too, but i dont use it, cuz yeah dell in its laptop says the battery health gets depleted,so it must be true for lenovo too.processor: it is i5 12th gen but a h grade , so it has gaming capability,i played games, it does the work but dont think you will give you performance like dedicated gpu bit it is faster than 13th gen u processor you can see the scores online, but yeah the battery life is low due to this only. so yeah again normal-normal.hardware is top notch, the keyboard quality is good.so all in all it is very good laptop, it will get all your normal needs done, go for it ,you will get it in 45k in sale.",Positive,Display - Not OLED/WUXGA Quality,Display,Not OLED/WUXGA Quality
3,B0DP7BZ8FD,4.0,HONEST REVIEW AND THE BEST REVIEW YOU WILL FIND,Reviewed in India on 18 October 2024,2024-10-18,True,99,"so 1st of all i got this laptop in 41000 during amazon great indian festival.now about the laptop.i got this laptop delivered in 9 days which can be considered a ling period but fine by me.the outer box was damaged but inside it was all perfect, so no problem with that.i dont think this will be a decision maker and please dont make it onelooks amd design are the best , literally it looks cool and 14 inches make it most beautiful.ok, now , before buying the laptop i saw many critics of display, but tbh yeah the display is not that oled or wuxga quality but as a student i have no problem,like it is pretty normal screen very normal,so if you have very high quality display needs then dont buy this but if you are student or evrn a working professional like me, so yeah the critics were somewhat right but its ok to be honest, it will do the job.now battery, now this one is tough to answer, i saw one comment which said 1 hr battery life, ohk yes the battery life is low, but not 1 hr, here is what i have found after using for 10 days:2 hr battery: intense gaming played honkai rail star, rocket league, genshin impact, can play valorant too 3.5-4.5 hrs: net surfing and video streaming5hr-6 hr : pdf and book reading which i as a student use it most forsee it is a h grade processor,but it is okay guys, chill, it has fast charing too, but i dont use it, cuz yeah dell in its laptop says the battery health gets depleted,so it must be true for lenovo too.processor: it is i5 12th gen but a h grade , so it has gaming capability,i played games, it does the work but dont think you will give you performance like dedicated gpu bit it is faster than 13th gen u processor you can see the scores online, but yeah the battery life is low due to this only. so yeah again normal-normal.hardware is top notch, the keyboard quality is good.so all in all it is very good laptop, it will get all your normal needs done, go for it ,you will get it in 45k in sale.",Positive,Battery - Poor Battery Backup,Battery,Poor Battery Backup
4,B0DP7BZ8FD,4.0,HONEST REVIEW AND THE BEST REVIEW YOU WILL FIND,Reviewed in India on 18 October 2024,2024-10-18,True,99,"so 1st of all i got this laptop in 41000 during amazon great indian festival.now about the laptop.i got this laptop delivered in 9 days which can be considered a ling period but fine by me.the outer box was damaged but inside it was all perfect, so no problem with that.i dont think this will be a decision maker and please dont make it onelooks amd design are the best , literally it looks cool and 14 inches make it most beautiful.ok, now , before buying the laptop i saw many critics of display, but tbh yeah the display is not that oled or wuxga quality but as a student i have no problem,like it is pretty normal screen very normal,so if you have very high quality display needs then dont buy this but if you are student or evrn a working professional like me, so yeah the critics were somewhat right but its ok to be honest, it will do the job.now battery, now this one is tough to answer, i saw one comment which said 1 hr battery life, ohk yes the battery life is low, but not 1 hr, here is what i have found after using for 10 days:2 hr battery: intense gaming played honkai rail star, rocket league, genshin impact, can play valorant too 3.5-4.5 hrs: net surfing and video streaming5hr-6 hr : pdf and book reading which i as a student use it most forsee it is a h grade processor,but it is okay guys, chill, it has fast charing too, but i dont use it, cuz yeah dell in its laptop says the battery health gets depleted,so it must be true for lenovo too.processor: it is i5 12th gen but a h grade , so it has gaming capability,i played games, it does the work but dont think you will give you performance like dedicated gpu bit it is faster than 13th gen u processor you can see the scores online, but yeah the battery life is low due to this only. so yeah again normal-normal.hardware is top notch, the keyboard quality is good.so all in all it is very good laptop, it will get all your normal needs done, go for it ,you will get it in 45k in sale.",Positive,Processor - Low Gaming / Graphics Performance,Processor,Low Gaming / Graphics Performance
6,B0DP7BZ8FD,1.0,⭐ 1 Star – Worst Experience with Lenovo!,Reviewed in India on 3 April 2025,2025-04-03,True,10,"1 star worst experience with lenovo!i purchased this lenovo laptop 12th gen intel i5-12450h around 9-10 months ago, expecting great performance due to its h-series processor. however, this has been one of the worst purchases ive ever made!serious issues: extreme overheating the laptop heats up so much that it becomes uncomfortable to use. loud fan noise the fan sounds like a jet engine, even during normal tasks. frequent freezing hanging i constantly face system lag, affecting my work. wifi/network issues suddenly, the wifi and network disable on their own, and only a restart fixes it.terrible customer support:despite having on-site warranty, lenovo support refuses to send a technician and only offers remote troubleshooting. their main solution? factory resetwhich means losing all my data! if you dont have extra storage for backup, you are stuck.conclusion:i have 3 lenovo laptops in my family, and all have serious issues. this is not a one-time defectits a lenovo quality problem. i will never buy lenovo again, and i suggest you avoid it too. if you value your money, stay away from lenovo! better go for hp, dell, or asus instead.",Negative,Performance - Freezing/Hanging,Performance,Freezing/Hanging
7,B0DP7BZ8FD,1.0,⭐ 1 Star – Worst Experience with Lenovo!,Reviewed in India on 3 April 2025,2025-04-03,True,10,"1 star worst experience with lenovo!i purchased this lenovo laptop 12th gen intel i5-12450h around 9-10 months ago, expecting great performance due to its h-series processor. however, this has been one of the worst purchases ive ever made!serious issues: extreme overheating the laptop heats up so much that it becomes uncomfortable to use. loud fan noise the fan sounds like a jet engine, even during normal tasks. frequent freezing hanging i constantly face system lag, affecting my work. wifi/network issues suddenly, the wifi and network disable on their own, and only a restart fixes it.terrible customer support:despite having on-site warranty, lenovo support refuses to send a technician and only offers remote troubleshooting. their main solution? factory resetwhich means losing all my data! if you dont have extra storage for backup, you are stuck.conclusion:i have 3 lenovo laptops in my family, and all have serious issues. this is not a one-time defectits a lenovo quality problem. i will never buy lenovo again, and i suggest you avoid it too. if you value your money, stay away from lenovo! better go for hp, dell, or asus instead.",Negative,Thermal Management - Overheating,Thermal Management,Overheating
8,B0DP7BZ8FD,1.0,⭐ 1 Star – Worst Experience with Lenovo!,Reviewed in India on 3 April 2025,2025-04-03,True,10,"1 star worst experience with lenovo!i purchased this lenovo laptop 12th gen intel i5-12450h around 9-10 months ago, expecting great performance due to its h-series processor. however, this has been one of the worst purchases ive ever made!serious issues: extreme overheating the laptop heats up so much that it becomes uncomfortable to use. loud fan noise the fan sounds like a jet engine, even during normal tasks. frequent freezing hanging i constantly face system lag, affecting my work. wifi/network issues suddenly, the wifi and network disable on their own, and only a restart fixes it.terrible customer support:despite having on-site warranty, lenovo support refuses to send a technician and only offers remote troubleshooting. their main solution? factory resetwhich means losing all my data! if you dont have extra storage for backup, you are stuck.conclusion:i have 3 lenovo laptops in my family, and all have serious issues. this is not a one-time defectits a lenovo quality problem. i will never buy lenovo again, and i suggest you avoid it too. if you value your money, stay away from lenovo! better go for hp, dell, or asus instead.",Negative,Fan - Excessive Noise,Fan,Excessive Noise
9,B0DP7BZ8FD,1.0,⭐ 1 Star – Worst Experience with Lenovo!,Reviewed in India on 3 April 2025,2025-04-03,True,10,"1 star worst experience with lenovo!i purchased this lenovo laptop 12th gen intel i5-12450h around 9-10 months ago, expecting great performance due to its h-series processor. however, this has been one of the worst purchases ive ever made!serious issues: extreme overheating the laptop heats up so much that it becomes uncomfortable to use. loud fan noise the fan sounds like a jet engine, even during normal tasks. frequent freezing hanging i constantly face system lag, affecting my work. wifi/network issues suddenly, the wifi and network disable on their own, and only a restart fixes it.terrible customer support:despite having on-site warranty, lenovo support refuses to send a technician and only offers remote troubleshooting. their main solution? factory resetwhich means losing all my data! if you dont have extra storage for backup, you are stuck.conclusion:i have 3 lenovo laptops in my family, and all have serious issues. this is not a one-time defectits a lenovo quality problem. i will never buy lenovo again, and i suggest you avoid it too. if you value your money, stay away from lenovo! better go for hp, dell, or asus instead.",Negative,Network - Frequent Disconnections,Network,Frequent Disconnections
10,B0DP7BZ8FD,1.0,⭐ 1 Star – Worst Experience with Lenovo!,Reviewed in India on 3 April 2025,2025-04-03,True,10,"1 star worst experience with lenovo!i purchased this lenovo laptop 12th gen intel i5-12450h around 9-10 months ago, expecting great performance due to its h-series processor. however, this has been one of the worst purchases ive ever made!serious issues: extreme overheating the laptop heats up so much that it becomes uncomfortable to use. loud fan noise the fan sounds like a jet engine, even during normal tasks. frequent freezing hanging i constantly face system lag, affecting my work. wifi/network issues suddenly, the wifi and network disable on their own, and only a restart fixes it.terrible customer support:despite having on-site warranty, lenovo support refuses to send a technician and only offers remote troubleshooting. their main solution? factory resetwhich means losing all my data! if you dont have extra storage for backup, you are stuck.conclusion:i have 3 lenovo laptops in my family, and all have serious issues. this is not a one-time defectits a lenovo quality problem. i will never buy lenovo again, and i suggest you avoid it too. if you value your money, stay away from lenovo! better go for hp, dell, or asus instead.",Negative,Customer Support - Unresponsive,Customer Support,Unresponsive
