ASIN,Model Number,Manufacturer Name,Product Title,Price,Overall Rating,Rating Count,Review Count,Bought L Month,Product Link,Product Description
B08KQK6WWZ,82C500QVSP,Lenovo,"Lenovo V15 15.6'' FHD Laptop, 12th Gen Intel Core i5-1235U, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, MS Office, 1YR On-site Warranty, Iron Grey",42990,3.2,7,4,,https://www.amazon.in/Lenovo-i5-1235U-Graphics-Windows-Warranty/dp/B08KQK6WWZ/ref=sr_1_227?dib=eyJ2IjoiMSJ9.5HE16Eib_LuEMF74Y7__Gz4B_qNUcu3qGfROOgol2nl_p4oMHRj69GqFSsffBFvUdz69o5z42eZvDzhw-YJJOs_tfLMErg5dGYMdESerRMHQjbGRa30Ar0DeuiQAHTha8SAIE6S_vY174mMlJZRN-GfjCsAG_Bmu4_nsghNOZVoXGoqYEFoNS59eaDB3a3IJLpX2e6N8-rt7nimGDbokWZuo0rPmbJMwtPfSdxO2X9k.oL9sm91uTuhGja0rqUuMW1Zyr3z_46bejjG51UF2SdA&dib_tag=se&keywords=laptop&qid=1752474002&refinements=p_123%3A110955%7C241862%7C308445%7C378555%7C391242&rnid=91049095031&sr=8-227,
B08N5W4NNB,MGN63HN/A,Apple,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",54990,4.6,7004,1500,3K+,https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_7?dib=eyJ2IjoiMSJ9.OKpdahTSQpVP0UpNSa2FbaCRLjHrxZDiKhpsX_5VDtF9TB0I4A49ZE9ZRvLcPGX6PzCbCDTN7V3YpOEOwZTx0ICv2o3nwC_32XXRnKMScrIqSAk0qTCLjXqb257y-4it45AHq7CaPm03sXK5cFpPJYSgDvud-YvIumkxMar5TBnmS9nf2R6SNlhIqJiTNy1Om_ltitq4Pa_b1Lx-ba85dVGues3cScA2ksVTcb2eyVs.FI-UsmVsDPHFkv_euc8wlaEWPnzMPI-i86hTmqCJ7zU&dib_tag=se&keywords=laptop&qid=1752467372&refinements=p_123%3A110955%7C241862%7C308445%7C378555%7C391242&rnid=91049095031&sr=8-7,Colour: Space Grey|Size: 256 GB
B09QQM3J65,14a-ca0505TU,HP,"HP Chromebook X360,Intel Celeron N4120,14-Inch (35.6 Cm),Hd,4Gb Lpddr4,64Gb Emmc,Intel Uhd Graphics,Thin&Light,Dual Speakers,Brightview Display (Chrome 64,White,1.49 Kg),Ca0505Tu,Chrome OS",24990,3.7,74,18,,https://www.amazon.in/HP-Chromebook-Micro-Edge-Touchscreen-14a-ca0505TU/dp/B09QQM3J65/ref=sr_1_78?dib=eyJ2IjoiMSJ9.Nc0tFlHW9FxjceVtzJ8PaC2hk27m45lJ5wVqHIKYUoS-u-ugNQ6EXSjSZmZeHZlAFy2dGLJZBM5bn0uQF8I-b6hmAOOqqEdO-0lOw9DLRb0zFmsDQ-5Ack22GV6txuEDhxt4ga1c2-C8EaRhLZ2DAhiyIJyTm2nq4WAmAPIYwr11HyKtcUNsdX5mC1vKwUBQ6det64F1C3sA3aoJdDKUxR-M9MbF-vEVfU1yDcwa5D8.QQDkF4c8w6AVMKA4RcD7iFNATx4Y30ajEwVfam73jPY&dib_tag=se&keywords=laptop&qid=1752469802&refinements=p_123%3A110955%7C241862%7C308445%7C378555%7C391242&rnid=91049095031&sr=8-78,
B09RZRF1PJ,eq2144AU,HP,"HP 15s, AMD Ryzen 5 5500U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, 15.6''/39.6 cm, Win 11, Office 21, Silver, 1.69 kg, eq2144AU, AMD Radeon Graphics, HD Camera, Dual Speakers Laptop",35990,4.0,1128,234,200+,https://www.amazon.in/HP-Anti-Glare-15-6-inch-Graphics-eq2144AU/dp/B09RZRF1PJ/ref=sr_1_30?dib=eyJ2IjoiMSJ9.Z9TFi56zTajnQl04YKEdmlbWn3ZPo-FgZeLv_WsPntrceSzg3bdYFqgdkiKEg5JcqGFHCcOtMgPoji9HlT2plQdW7EcWFDmi451x-bN4pE_Jx-hs0HGoVztaL0_bV5HrNC8vO5rfg9YNrEM3FDKleo2eQqaIu-plUgdAV1AsjgdxNvlGig4ZXpHPRX3Tp_irIi7MEOQntbL2rxFq5_3NfiDK_c0_Z6OJ1zVW-6ElADc.N7ywBX-IkA6sMJCua9RACs6vbCAtjicNKUWI5hpZndU&dib_tag=se&keywords=laptop&qid=1752468099&refinements=p_123%3A110955%7C241862%7C308445%7C378555%7C391242&rnid=91049095031&sr=8-30,Size: Ryzen 5 – 5500U + Win11+15.6 inch
B0B46B848V,XPS 9720,Dell,"Dell XPS 9720 Laptop,Intel i9-12900HK, 32GB DDR4 & 1TB SSD,Win 11 + MSO'21, NVIDIA RTX 3060 (6GB GDDR6),17.0"" (43.9Cms) UHD+ AR Infinity Edge Touch 500 nits,15 Month McAfee, Platinum Silver, 2.42Kgs",331360,2.9,3,3,,https://www.amazon.in/Dell-i9-12900HK-InfinityEdge-Platinum-D560069WIN9S/dp/B0B46B848V/ref=sr_1_216?dib=eyJ2IjoiMSJ9.5HE16Eib_LuEMF74Y7__Gz4B_qNUcu3qGfROOgol2nl_p4oMHRj69GqFSsffBFvUdz69o5z42eZvDzhw-YJJOs_tfLMErg5dGYMdESerRMHQjbGRa30Ar0DeuiQAHTha8SAIE6S_vY174mMlJZRN-GfjCsAG_Bmu4_nsghNOZVoXGoqYEFoNS59eaDB3a3IJLpX2e6N8-rt7nimGDbokWZuo0rPmbJMwtPfSdxO2X9k.oL9sm91uTuhGja0rqUuMW1Zyr3z_46bejjG51UF2SdA&dib_tag=se&keywords=laptop&qid=1752474002&refinements=p_123%3A110955%7C241862%7C308445%7C378555%7C391242&rnid=91049095031&sr=8-216,
B0B4JPC8GT,82RK00VTIN,Lenovo,"Lenovo IdeaPad Slim 3, Intel Core i3, 12th Gen, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Office Home 2024, Arctic Grey, 1.63Kg, 82RK01ABIN, Intel UHD Graphics, 1Yr ADP Free Laptop",34990,4.0,535,138,400+,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82RK006DIN/dp/B0B4JPC8GT/ref=sr_1_68?dib=eyJ2IjoiMSJ9.Nc0tFlHW9FxjceVtzJ8PaC2hk27m45lJ5wVqHIKYUoS-u-ugNQ6EXSjSZmZeHZlAFy2dGLJZBM5bn0uQF8I-b6hmAOOqqEdO-0lOw9DLRb0zFmsDQ-5Ack22GV6txuEDhxt4ga1c2-C8EaRhLZ2DAhiyIJyTm2nq4WAmAPIYwr11HyKtcUNsdX5mC1vKwUBQ6det64F1C3sA3aoJdDKUxR-M9MbF-vEVfU1yDcwa5D8.QQDkF4c8w6AVMKA4RcD7iFNATx4Y30ajEwVfam73jPY&dib_tag=se&keywords=laptop&qid=1752469802&refinements=p_123%3A110955%7C241862%7C308445%7C378555%7C391242&rnid=91049095031&sr=8-68,"Colour: i3-12th Gen | 15"""
B0B6F6HN37,15s- fq5112TU,HP,"HP 15s, 12th Gen Intel Core i5 16GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Win 11/Intel Iris Xe Graphics/Dual Speakers/Alexa/Backlit KB/MSO/Fast Charge, 15s- fq5112TU",50475,4.0,1495,370,50+,https://www.amazon.in/HP-Micro-Edge-Anti-Glare-15s-fq5112TU/dp/B0B6F6HN37/ref=sr_1_161_mod_primary_new?dib=eyJ2IjoiMSJ9.rktwdNeRNfGeZv66RZd18IZnUlsbX6oFtvP6qFnQYEMbnBtcSe9ci0rw111LXk75Algh2eKNKCrY2_K0pgd_krZWi6ZWddsWZAYNyB-RebCsrWtBbG6DIDcpB2ZU1NSuRzvD4VIFR6WhvYYVsVPvgYkbHr4_RT0wYYIjftF2qVNf3pmuKcueoV5Np6LOXWGf7s4JxdJWe33mFA3H8mRcjek9PeKcs_ARcBmXakcamSA.X4_ng4xUzssJT0Wd_L0NM7Pyy5KSLmjRKeMydbAXu4w&dib_tag=se&keywords=laptop&qid=1752472188&refinements=p_123%3A110955%7C241862%7C308445%7C378555%7C391242&rnid=91049095031&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-161,Style Name: Ci3-12th Gen
B0BDM5ZZ86,i5-1235U,Lenovo,"Lenovo ThinkPad E14 Intel Core i5 12th Gen 14"" FHD Thin and Light Laptop (16GB RAM/1TB SSD/Windows 11 Home/Office 2021/FPR/Backlit Keyboard/Black/1.59 kg), 21E3S04U00",78000,4.2,86,21,,https://www.amazon.in/Lenovo-ThinkPad-Windows-Keyboard-21E3S04U00/dp/B0BDM5ZZ86/ref=sr_1_201?dib=eyJ2IjoiMSJ9.exAqQfRx7GOAHhLW-TECVrWLSv7sPqkF66EAX0GBjKO1TO0zjT26C00eWd8uWrHrnOHmfeTcS0LXqXML26FBxgJ9N4wZyNdG8ikXkdZE3k9oT-8tVnbjpRumEtP5pS56MhJrRykxHA79oni9Q5f-ElWQ04hJAF9YLTF3QYnAmhWU8f18VaNzvBb13ys2WhkgERu_iQhiKnT60e0QLfoxOdR8W8paO3IeybbRsp6r2W8.bhUywZ4saPtCFH6ElthNGSkfbvr8jGdclEVdI2dtmws&dib_tag=se&keywords=laptop&qid=1752473572&refinements=p_123%3A110955%7C241862%7C308445%7C378555%7C391242&rnid=91049095031&sr=8-201,Style Name: 12th Gen | 14Inch | 16GB RAM | 1TB SSD
B0BQJ7WR2R,Vostro 3520,Dell,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4 + 512GB SSD/Intel UHD Graphics/15.6"" (39.62cm) FHD Display/Win 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg",44990,3.7,575,173,200+,https://www.amazon.in/Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=sr_1_120?dib=eyJ2IjoiMSJ9.A3d9HkEoCwqTthMN_C5sdGpZoJExqtqQo_83FfhbaSC4RdPYyxKF1O2Uf7y8CD9qw4GcvY7S-lsR3lHoTegGYLbHupgb3VWmtxcUMyx2I70D4czk7mSNxvx97q_8IlW45JT9LqC5ksSryUj3xfFhHhyd8ewEwqbGnCvrJ8NDkzE-O_j2nhjYtqnfTHAG0WsV-qGpo1rD6nBW0V-KOksjb_UcDGTdsP5Cnuqye7C7J6U.VC0SdowM1UlIyC5P9yydVHfELMvL9fbgJgl6_z4jaC4&dib_tag=se&keywords=laptop&qid=1752471256&refinements=p_123%3A110955%7C241862%7C308445%7C378555%7C391242&rnid=91049095031&sr=8-120,Colour: Carbon
B0BQJ9HZPP,Inspiron 15,Dell,"Dell Inspiron 15-3530 Laptop - 15.6 inch FHD, 13th Gen Intel Core i3-1305U, 8GB RAM, 512GB SSD, Win 11 + Office H&S 2021, Standard Keyboard, Platinum Silver, 1 Year Onsite Hardware Service, 1.62 Kg",34990,3.8,817,230,100+,https://www.amazon.in/Dell-Vostro-15-3520-Laptop/dp/B0BQJ9HZPP/ref=sr_1_56?dib=eyJ2IjoiMSJ9.JykSzEcWMAxQd-r54cVSPqXJvdluj0UsvPn0lH9rd3F-Ql9hy3ckKPEeXrPZCvNeZKEMmDrU-U8-wgSmhM58IEvS_J6ieMTm4R7vcSlIrsYNklhJ3N6LNHomNmp8BqZtSJTort53z9cbTjKNGe1IzQ77kW5jmG2Y7wso7nrk8SuzOjYUHLM-kEqY37_SkuSoK9BEg5k5BaVtfOzVeK_5vZH2JkvmFf3UPuPEXVtG7bY.0DD-H76h_eZ_aNS5kW4Iy9AoHNT7RgbfkoxnzU5_oZ8&dib_tag=se&keywords=laptop&qid=1752469299&refinements=p_123%3A110955%7C241862%7C308445%7C378555%7C391242&rnid=91049095031&sr=8-56,Colour: Platinum Silver
